gemeindename,plz,bundesland,partnergemeinde,land,kontinent,seit,form,latitude,longitude
Aindling,86447,Bayern,Fürstenfeld,Österreich,Europa,1952,f,48.5136,10.9531
Aindling,86447,Bayern,Avord,Frankreich,Europa,1976,p,48.5136,10.9531
Aken (Elbe),6385,Sachsen-Anhalt,Anor,Frankreich,Europa,1993,p,51.85,12.05
Alb-Donau-Kreis (Kreis),89077,Baden-Württemberg,Mid Glamorgan,Großbritannien,Europa,2000,p,48.330571,9.932762
Albbruck,79774,Baden-Württemberg,Carmigno di Brenta,Italien,Europa,1965,p,47.6,8.1333
Albersdorf,25767,Schleswig-Holstein,Manneville,Frankreich,Europa,1985,p,54.1479,9.2783
Albersweiler,76857,Rheinland-Pfalz,Abreschviller,Frankreich,Europa,1993,p,49.2192,8.03
Albig,55234,Rheinland-Pfalz,Signy l`Abbaye (Ardennes),Frankreich,Europa,1975,p,49.7736,8.1214
Albstadt,72458,Baden-Württemberg,Chambéry,Frankreich,Europa,1979,p,48.2164,9.026
Aldenhoven,52457,Nordrhein-Westfalen,Albert,Frankreich,Europa,1981,p,50.8924,6.2746
Alfeld (Leine),31061,Niedersachsen,Wakefield,Großbritannien,Europa,1991,p,51.9838,9.8199
Alfhausen,49594,Niedersachsen,La Meignanne,Frankreich,Europa,2001,p,52.5,7.95
Alfter,53347,Nordrhein-Westfalen,Chateauneuf sur Charente,Frankreich,Europa,1979,p,50.7333,7.0167
Alheim,36211,Hessen,Zandhoven-Pulle,Belgien,Europa,1971,p,51.0333,9.6667
Allendorf (Eder),35108,Hessen,Bonneval,Frankreich,Europa,1981,p,51.0299,8.6723
Allendorf (Lumda),35469,Hessen,Nouvion sur Meuse,Frankreich,Europa,1973,p,50.6775,8.8215
Allersberg,90584,Bayern,Saint Céré (Lot),Frankreich,Europa,1985,p,49.2513,11.2366
Allmendingen,89604,Baden-Württemberg,Allmendigen,Schweiz,Europa,2000,k,48.3305,9.7242
Allmendingen,89604,Baden-Württemberg,Querqueville,Frankreich,Europa,1981,p,48.3305,9.7242
Allstedt,6542,Sachsen-Anhalt,Vrbove (Werbau),Slow. Republik,Europa,2000,f,51.4079,11.4007
Allstedt,6542,Sachsen-Anhalt,Aigneperse,Frankreich,Europa,2000,p,51.4079,11.4007
Alpen,46519,Nordrhein-Westfalen,Herentals,Belgien,Europa,1987,p,51.5833,6.5167
Alpirsbach,72275,Baden-Württemberg,Neuville sur Saone,Frankreich,Europa,1973,p,48.3451,8.402
Alsbach-Hähnlein,64665,Hessen,Diosd (Nussdorf),Ungarn,Europa,1989,p,49.745987,8.582479
Alsdorf,52477,Nordrhein-Westfalen,Brunssum,Niederlande,Europa,1988,p,50.8705,6.1754
Alsdorf,52477,Nordrhein-Westfalen,St. Brieuc,Frankreich,Europa,1970,p,50.8705,6.1754
Alsfeld,36304,Hessen,Amstetten,Österreich,Europa,1979,p,50.7619,9.2823
Alsfeld,36304,Hessen,Nakskov,Dänemark,Europa,1962,p,50.7619,9.2823
Alsfeld,36304,Hessen,Chaville,Frankreich,Europa,1974,p,50.7619,9.2823
Alsfeld,36304,Hessen,New Mills,Großbritannien,Europa,1962,p,50.7619,9.2823
Alsheim,67577,Rheinland-Pfalz,Pesmes,Frankreich,Europa,1972,p,49.7681,8.3403
Altdorf,84032,Bayern,Molsheim,Frankreich,Europa,2000,k,48.5559,12.11
Altdorf b.Nürnberg,90518,Bayern,Altdorf/Uri,Schweiz,Europa,1946,f,49.393182,11.367701
Altdorf b.Nürnberg,90518,Bayern,Dunaharaszti (Harras),Ungarn,Europa,1993,p,49.393182,11.367701
Altena,58762,Nordrhein-Westfalen,Péronne,Frankreich,Europa,1967,p,51.2947,7.6734
Altena,58762,Nordrhein-Westfalen,Blackburn,Großbritannien,Europa,1971,p,51.2947,7.6734
Altena,58762,Nordrhein-Westfalen,Pinsk,,,1990,p,51.2947,7.6734
Altenbeken,33184,Nordrhein-Westfalen,Betton,Frankreich,Europa,1993,p,51.7645,8.942
Altenberg,1773,Sachsen,Duchcove (Dux),Tschech. Republik,Europa,2000,p,50.7667,13.7667
Altenberg,1773,Sachsen,Krupka (Graupen),Tschech. Republik,Europa,1995,f,50.7667,13.7667
Altenberg,1773,Sachsen,Liebenau,Österreich,Europa,1991,p,50.7667,13.7667
Altenberge,48341,Nordrhein-Westfalen,Gooik,Belgien,Europa,1979,p,52.05,7.4667
Altenburger Land (Kreis),4600,Thüringen,Dobelé,Lettland,Europa,1991,k,53.5754138,7.2315826
Altenburger Land (Kreis),4600,Thüringen,Wojewodschaft Jelenia Góra (Hirschberg),Polen,Europa,2000,p,53.5754138,7.2315826
Altendiez,65624,Rheinland-Pfalz,Burton Latimer,Großbritannien,Europa,2000,p,50.3667,7.9833
Altenglan,66885,Rheinland-Pfalz,Croissy-sur-Seine,Frankreich,Europa,1990,p,49.55,7.4667
Altenglan,66885,Rheinland-Pfalz,Danbury,Großbritannien,Europa,1982,p,49.55,7.4667
Altenholz,24161,Schleswig-Holstein,Aabybro,Dänemark,Europa,1989,p,54.4,10.1333
Altenholz,24161,Schleswig-Holstein,Châteaurenard,Frankreich,Europa,1991,p,54.4,10.1333
Altenkirchen (Verbandsgemeinde),57610,Rheinland-Pfalz,Tarbes,Frankreich,Europa,1972,p,50.688948,7.668603
Altenkirchen (Verbandsgemeinde),57610,Rheinland-Pfalz,Olszanka (Alzenau),Polen,Europa,2000,k,50.688948,7.668603
Altenkirchen (Verbandsgemeinde),57610,Rheinland-Pfalz,Krapkowice, Kreis (Krappitz),Polen,Europa,2000,50.688948,7.668603
Altenkirchen (Westerwald),57610,Rheinland-Pfalz,Tarbes,Frankreich,Europa,1972,p,50.6859,7.6418
Altenkirchen (Westerwald),57610,Rheinland-Pfalz,Olszanka (Alzenau),Polen,Europa,2000,k,50.6859,7.6418
Altenkirchen (Westerwald) (Kreis),57610,Rheinland-Pfalz,Krapkowice-Prudnik (Krappitz-Neustadt),Polen,Europa,1996,k,50.6859,7.6418
Altenkunstadt,96264,Bayern,Quéven,Frankreich,Europa,2006,p,50.125,11.2503
Altensteig,72213,Baden-Württemberg,Bourg-Saint-Maurice,Frankreich,Europa,1965,p,48.5865,8.6039
Altheim,88499,Baden-Württemberg,Mariakemend (Keimend),Ungarn,Europa,2000,p,48.1453,9.4474
Althütte,71566,Baden-Württemberg,Obertilliach,Österreich,Europa,2000,k,48.928255,9.573466
Altleiningen,67317,Rheinland-Pfalz,Oberbronn-Zinswiller,Frankreich,Europa,1982,p,49.5075,8.0733
Altomünster,85250,Bayern,Nagyvenyim,Ungarn,Europa,1993,p,48.389551,11.243216
Altötting,84503,Bayern,Pribram (Bibersdorf),Tschech. Republik,Europa,1991,k,48.217215,12.698334
Altötting,84503,Bayern,Sedlcany (Settschau),Tschech. Republik,Europa,1992,f,48.217215,12.698334
Altötting,84503,Bayern,Loreto/Ancona,Italien,Europa,1991,p,48.217215,12.698334
Altötting,84503,Bayern,Czestochowa (Tschenstochau),Polen,Europa,1990,k,48.217215,12.698334
Altötting,84503,Bayern,Fatima,Portugal,Europa,2009,p,48.217215,12.698334
Altrip,67122,Rheinland-Pfalz,Petit Rederching,Frankreich,Europa,1991,p,49.4351,8.484
Altshausen,88361,Baden-Württemberg,Bicske (Witschke),Ungarn,Europa,1995,p,47.9302,9.5459
Altshausen,88361,Baden-Württemberg,Sausset les Pins,Frankreich,Europa,2009,p,47.9302,9.5459
Altusried,87452,Bayern,Lusignan (Poitou),Frankreich,Europa,1976,p,47.8041,10.2143
Alzenau,63755,Bayern,Pfaffstätten (Niederösterreich),Österreich,Europa,1972,p,50.0888,9.0645
Alzenau,63755,Bayern,Thaon-les-Vosges,Frankreich,Europa,1986,p,50.0888,9.0645
Alzenau,63755,Bayern,Sint-Oedenrode,Niederlande,Europa,1968,p,50.0888,9.0645
Alzenau,63755,Bayern,Ogolnoksztalcace,Polen,Europa,2000,k,50.0888,9.0645
Alzey,55232,Rheinland-Pfalz,Rechnitz,Österreich,Europa,1981,p,49.75,8.1014
Alzey,55232,Rheinland-Pfalz,Josselin,Frankreich,Europa,1973,p,49.75,8.1014
Alzey,55232,Rheinland-Pfalz,Lembeye,Frankreich,Europa,1980,p,49.75,8.1014
Alzey,55232,Rheinland-Pfalz,Harpenden,Großbritannien,Europa,1963,p,49.75,8.1014
Alzey,55232,Rheinland-Pfalz,Koscian (Kosten),Polen,Europa,1990,p,49.75,8.1014
Alzey-Worms (Kreis) (Alzey, Stadt),55221,Rheinland-Pfalz,Orhei,Moldawien,Europa,2000,49.633266,8.329385
AlzeyWorms (Kreis),,,Koscian,Polen,Europa,2000,p,50.9453,13.7551
Amberg,92224,Bayern,Périgueux,Frankreich,Europa,1965,p,49.4502,11.848
Amberg,92224,Bayern,Kranj,Slowenien,Europa,1965,k,49.4502,11.848
Amberg,92224,Bayern,Usti nad Orlici,Tschech. Republik,Europa,2001,p,49.4502,11.848
Amberg,92224,Bayern,Bystrzyca Klodzka,Polen,Europa,1988,p,49.4502,11.848
Amberg,92224,Bayern,Trikala,Griechenland,Europa,2001,p,49.4502,11.848
Amberg,92224,Bayern,Desenzano del Garda,Italien,Europa,2006,p,49.4502,11.848
