"gemeindename","plz","bundesland","latitude","longitude","partnergemeinde","land","kontinent","seit","form","latitude_partner","longitude_partner"
"Albersweiler","76857","Rheinland-Pfalz","49.2192","8.03","Abreschviller","Frankreich","Europa","1993","p","48.6369","7.0967"
"Albig","55234","Rheinland-Pfalz","49.7736","8.1214","Signy l`Abbaye (Ardennes)","Frankreich","Europa","1975","p","49.6975","4.4203"
"Albstadt","72458","Baden-Württemberg","48.2164","9.026","Chambéry","Frankreich","Europa","1979","p","49.5926","3.6578"
"Aldenhoven","52457","Nordrhein-Westfalen","50.8924","6.2746","Albert","Frankreich","Europa","1981","p","56.898752","-115.003666"
"Alfeld (Leine)","31061","Niedersachsen","51.9838","9.8199","Wakefield","Großbritannien","Europa","1991","p","53.658074","-1.494312"
"Alfhausen","49594","Niedersachsen","52.5","7.95","La Meignanne","Frankreich","Europa","2001","p","47.5194","-0.6692"
"Alfter","53347","Nordrhein-Westfalen","50.7333","7.0167","Chateauneuf sur Charente","Frankreich","Europa","1979","p","45.5986","-0.0536"
"Alheim","36211","Hessen","51.0333","9.6667","Zandhoven-Pulle","Belgien","Europa","1971","p","51.209542","4.671367"
"Allendorf (Eder)","35108","Hessen","51.0299","8.6723","Bonneval","Frankreich","Europa","1981","p","48.1831","1.3852"
"Allendorf (Lumda)","35469","Hessen","50.6775","8.8215","Nouvion sur Meuse","Frankreich","Europa","1973","p","49.7","4.795"
"Allersberg","90584","Bayern","49.2513","11.2366","Saint Céré (Lot)","Frankreich","Europa","1985","p","-37.0913152","-73.1552685"
"Allmendingen","89604","Baden-Württemberg","48.3305","9.7242","Allmendigen","Schweiz","Europa","2000","k","47.928974","16.203671"
"Allmendingen","89604","Baden-Württemberg","48.3305","9.7242","Querqueville","Frankreich","Europa","1981","p","49.6633","-1.6953"
