municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Erkrath,40699,Nordrhein-Westfalen,North Rhine-Westphalia,51.213200,6.928900,"Erkrath, 40699, Nordrhein-Westfalen, Germany",Cergy-Pointoise,Frankreich,France,Europa,Europe,2000,p,49.035800,2.062500,"Cergy, 95000, Val-d'Oise, France"
Erkrath,40699,Nordrhein-Westfalen,North Rhine-Westphalia,51.213200,6.928900,"Erkrath, 40699, Nordrhein-Westfalen, Germany",West-Lancashire,Großbritannien,United Kingdom,Europa,Europe,2000,p,53.611000,-2.886900,"West Lancashire, L40 0RT, Lancashire, United Kingdom"
Erlabrunn,97250,Bayern,Bavaria,49.859700,9.844200,"Erlabrunn, 97250, Bayern, Germany",Quettehou (Normandie),Frankreich,France,Europa,Europe,1985,p,49.592500,-1.303600,"Quettehou, 50630, Manche, France"
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Riverside,USA,United States,Amerika,America,2011,k,33.953300,-117.396200,"Riverside, 92506, California, United States"
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Shenzhen,China,China,Asien,Asia,1997,p,22.568479,114.022973,"Shenzhen, Guangdong, China"
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Istanbul (Besiktas),Türkei,Turkey,Europa,Europe,2003,p,41.053412,29.448840,"Istanbul, Turkey"
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Venzone,Italien,Italy,Europa,Europe,1976,k,46.334574,13.137337,"Venzone, UDINE, Italy"
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Umhausen,Österreich,Austria,Europa,Europe,2006,p,47.140500,10.945800,"Umhausen, 6441, Tirol, Austria"
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Wladimir,Rußland,Russia,Europa,Europe,1987,p,59.452681,87.253449,Russia
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Rennes,Frankreich,France,Europa,Europe,1964,p,48.114200,-1.680800,"Rennes, 35000, Ille-et-Vilaine, France"
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Stoke-on-Trent,Großbritannien,United Kingdom,Europa,Europe,1989,p,53.011656,-2.142305,"Stoke-on-Trent, ST2 9RF, City of Stoke-on-Trent, United Kingdom"
Erlangen,91052,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Eskilstuna,Schweden,Sweden,Europa,Europe,1961,p,59.333300,16.483300,"Eskilstuna, Södermanlands län, Sweden"
"Erlangen-Höchstadt (Kreis) (Erlangen, Stadt)",91054,Bayern,Bavaria,49.591000,11.007800,"Erlangen, 91052, Bayern, Germany",Wolfsberg,Österreich,Austria,Europa,Europe,2000,k,46.862700,14.792700,"Wolfsberg, 9412, Kärnten, Austria"
Erlenbach,74235,Baden-Württemberg,Baden-Wurttemberg,49.172500,9.268300,"Erlenbach, 74235, Baden-Württemberg, Germany",Seiches-Sur-Le-Loir,Frankreich,France,Europa,Europe,2000,p,47.573500,-0.356300,"Seiches-sur-le-Loir, 49140, Maine-et-Loire, France"
Erlensee,63526,Hessen,Hesse,50.163000,8.978200,"Erlensee, 63526, Hessen, Germany",Bigglesnade,Großbritannien,United Kingdom,Europa,Europe,2000,p,54.321107,-1.928484,United Kingdom
Erndtebrück,57339,Nordrhein-Westfalen,North Rhine-Westphalia,50.989246,8.278340,"57339, Nordrhein-Westfalen, Germany",Bergues,Frankreich,France,Europa,Europe,1973,p,50.968600,2.434200,"Bergues, 59380, Nord, France"
Ertingen,88521,Baden-Württemberg,Baden-Wurttemberg,48.100000,9.466700,"Ertingen, 88521, Baden-Württemberg, Germany",Granges sur Vologne,Frankreich,France,Europa,Europe,1989,p,48.145200,6.790900,"Granges-sur-Vologne, 88640, Vosges, France"
Erzhausen,64390,Hessen,Hesse,49.952100,8.638500,"Erzhausen, 64390, Hessen, Germany",Mnichovo Hradiste,Tschech. Republik,Czech Republic,Europa,Europe,1997,p,50.529100,14.975800,"Mnichovo Hradiště, Středočeský, Czech Republic"
Eschborn,65760,Hessen,Hesse,50.143300,8.571100,"Eschborn, 65760, Hessen, Germany",Zabbar,Malta,Malta,Europa,Europe,2001,f,35.872072,14.539973,"Zabbar, Malta"
Eschborn,65760,Hessen,Hesse,50.143300,8.571100,"Eschborn, 65760, Hessen, Germany",Povoa de Varzim,Portugal,Portugal,Europa,Europe,2000,k,41.421300,-8.729400,"Póvoa de Varzim, Porto, Portugal"
Eschborn,65760,Hessen,Hesse,50.143300,8.571100,"Eschborn, 65760, Hessen, Germany",Le Tholonet,Frankreich,France,Europa,Europe,2002,p,43.521700,5.511100,"Le Tholonet, 13100, Bouches-du-Rhône, France"
Eschborn,65760,Hessen,Hesse,50.143300,8.571100,"Eschborn, 65760, Hessen, Germany",Montgeron,Frankreich,France,Europa,Europe,1985,p,48.707500,2.455300,"Montgeron, 91230, Essonne, France"
Eschede,29348,Niedersachsen,Lower Saxony,52.733300,10.250000,"Eschede, 29348, Niedersachsen, Germany",Barneville-Carteret,Frankreich,France,Europa,Europe,1989,p,49.367900,-1.765100,"Barneville-Carteret, 50270, Manche, France"
Eschede,29348,Niedersachsen,Lower Saxony,52.733300,10.250000,"Eschede, 29348, Niedersachsen, Germany",Barneville-Carteret,Frankreich,France,Europa,Europe,1989,p,49.367900,-1.765100,"Barneville-Carteret, 50270, Manche, France"
Eschenbach i.d.OPf.,92676,Bayern,Bavaria,49.776629,11.824466,"92676, Bayern, Germany",Eschenbach ( Luzern),Schweiz,Switzerland,Europa,Europe,1989,p,47.038035,8.325997,"Luzern, Switzerland"
Eschershausen,37632,Niedersachsen,Lower Saxony,51.944440,9.688463,"Eschershausen, 37632, Niedersachsen, Germany",Thionville,Frankreich,France,Europa,Europe,1985,k,49.366700,6.166700,"Thionville, 57100, Moselle, France"
Eschlkam,93458,Bayern,Bavaria,49.300000,12.916700,"Eschlkam, 93458, Bayern, Germany",Kdyne (Neugedein),Tschech. Republik,Czech Republic,Europa,Europe,1994,f,49.390800,13.039700,"Kdyně, Plzeňský, Czech Republic"
Eschlkam,93458,Bayern,Bavaria,49.300000,12.916700,"Eschlkam, 93458, Bayern, Germany",Vseruby (Neumarkt),Tschech. Republik,Czech Republic,Europa,Europe,1994,f,49.841700,13.229400,"Všeruby, Plzeňský, Czech Republic"
Eschwege,37269,Hessen,Hesse,51.184700,10.042300,"Eschwege, 37269, Hessen, Germany",Saint Mandé,Frankreich,France,Europa,Europe,1989,p,43.378109,1.788146,"Manda, Avignonet-Lauragais, 31290, Haute-Garonne, France"
Eschweiler,52249,Nordrhein-Westfalen,North Rhine-Westphalia,50.823700,6.267500,"Eschweiler, 52249, Nordrhein-Westfalen, Germany",Dalaman,Türkei,Turkey,Europa,Europe,2010,f,36.808733,28.712742,"Dalaman, Mugla, Turkey"
Eschweiler,52249,Nordrhein-Westfalen,North Rhine-Westphalia,50.823700,6.267500,"Eschweiler, 52249, Nordrhein-Westfalen, Germany",Wattrelos,Frankreich,France,Europa,Europe,1975,p,50.701200,3.218100,"Wattrelos, 59150, Nord, France"
Eschweiler,52249,Nordrhein-Westfalen,North Rhine-Westphalia,50.823700,6.267500,"Eschweiler, 52249, Nordrhein-Westfalen, Germany",Reigate & Banstead,Großbritannien,United Kingdom,Europa,Europe,1985,p,51.266700,-0.183300,"Reigate and Banstead, RH2 0TZ, Surrey, United Kingdom"
Eslarn,92693,Bayern,Bavaria,49.583400,12.521600,"Eslarn, 92693, Bayern, Germany",Belá nad Radbuzou (Weißensulz),Tschech. Republik,Czech Republic,Europa,Europe,1990,p,49.591100,12.717600,"Bělá nad Radbuzou, Plzeňský, Czech Republic"
Eslohe (Sauerland),59889,Nordrhein-Westfalen,North Rhine-Westphalia,51.253700,8.169500,"Eslohe (Sauerland), 59889, Nordrhein-Westfalen, Germany",Kisbér,Ungarn,Hungary,Europa,Europe,1992,p,47.161064,19.133710,Hungary
Espelkamp,32339,Nordrhein-Westfalen,North Rhine-Westphalia,52.382500,8.621300,"Espelkamp, 32339, Nordrhein-Westfalen, Germany",Nagykörös,Ungarn,Hungary,Europa,Europe,1991,p,47.161064,19.133710,Hungary
Espelkamp,32339,Nordrhein-Westfalen,North Rhine-Westphalia,52.382500,8.621300,"Espelkamp, 32339, Nordrhein-Westfalen, Germany",Boras,Schweden,Sweden,Europa,Europe,1995,p,57.722300,12.939200,"Borås, Västra Götalands län, Sweden"
Espenau,34314,Hessen,Hesse,51.396600,9.470200,"Espenau, 34314, Hessen, Germany",Imst,Österreich,Austria,Europa,Europe,1979,k,47.268400,10.669800,"Imst, 6460, Tirol, Austria"
Espenau,34314,Hessen,Hesse,51.396600,9.470200,"Espenau, 34314, Hessen, Germany",Telfs,Österreich,Austria,Europa,Europe,1996,k,47.323800,11.097400,"Telfs, 6410, Tirol, Austria"
Esselbach,97839,Bayern,Bavaria,49.855300,9.525800,"Esselbach, 97839, Bayern, Germany",Stetteldorf (Niederösterreich),Österreich,Austria,Europa,Europe,2000,p,47.695940,14.755756,Austria
Essen,45127,Nordrhein-Westfalen,North Rhine-Westphalia,51.453500,7.010200,"Essen, 45127, Nordrhein-Westfalen, Germany",Tel Aviv,Israel,Israel,Asien,Asia,1991,p,32.066519,34.787800,"Tel Aviv, Tel Aviv, Israel"
Essen,45127,Nordrhein-Westfalen,North Rhine-Westphalia,51.453500,7.010200,"Essen, 45127, Nordrhein-Westfalen, Germany",Grenoble,Frankreich,France,Europa,Europe,1979,p,45.187200,5.726600,"Grenoble, 38000, Isère, France"
Essen,45127,Nordrhein-Westfalen,North Rhine-Westphalia,51.453500,7.010200,"Essen, 45127, Nordrhein-Westfalen, Germany",Nishnij Nowgorod,Rußland,Russia,Europa,Europe,1991,p,59.452681,87.253449,Russia
Essen,45127,Nordrhein-Westfalen,North Rhine-Westphalia,51.453500,7.010200,"Essen, 45127, Nordrhein-Westfalen, Germany",Sunderland,Großbritannien,United Kingdom,Europa,Europe,1979,p,54.912083,-1.425144,"European Way, Castletown, SR4 6SS, Sunderland, United Kingdom"
Essen,45127,Nordrhein-Westfalen,North Rhine-Westphalia,51.453500,7.010200,"Essen, 45127, Nordrhein-Westfalen, Germany",Tampere,Finnland,Finland,Europa,Europe,1979,p,61.607400,23.870200,"Tampere, Pirkanmaa, Finland"
Essen (Oldenburg),49632,Niedersachsen,Lower Saxony,52.722600,7.937100,"Essen (Oldenburg), 49632, Niedersachsen, Germany",Essen,Belgien,Belgium,Europa,Europe,1968,p,50.500204,4.863757,Belgium
Essenbach,84051,Bayern,Bavaria,48.613300,12.218300,"Essenbach, 84051, Bayern, Germany",Savigneux,Frankreich,France,Europa,Europe,2000,p,45.616700,4.083300,"Savigneux, 42600, Loire, France"
Essenheim,55270,Rheinland-Pfalz,Rheinland-Pfalz,49.930600,8.155600,"Essenheim, 55270, Rheinland-Pfalz, Germany",Festigny,Frankreich,France,Europa,Europe,1978,p,47.554200,3.537500,"Festigny, 89480, Yonne, France"
Essenheim,55270,Rheinland-Pfalz,Rheinland-Pfalz,49.930600,8.155600,"Essenheim, 55270, Rheinland-Pfalz, Germany",Verneul,Frankreich,France,Europa,Europe,1978,p,47.964359,7.307174,"Europe, Rouffach, 68250, Haut-Rhin, France"
Essenheim,55270,Rheinland-Pfalz,Rheinland-Pfalz,49.930600,8.155600,"Essenheim, 55270, Rheinland-Pfalz, Germany",Boursault,Frankreich,France,Europa,Europe,1978,p,49.060600,3.845200,"Boursault, 51480, Marne, France"
Essenheim,55270,Rheinland-Pfalz,Rheinland-Pfalz,49.930600,8.155600,"Essenheim, 55270, Rheinland-Pfalz, Germany",Chatillon sur Marne,Frankreich,France,Europa,Europe,1978,p,49.100500,3.760200,"Châtillon-sur-Marne, 51700, Marne, France"
Essingen,76879,Rheinland-Pfalz,Rheinland-Pfalz,49.235800,8.174700,"Essingen, 76879, Rheinland-Pfalz, Germany",Moragy (Maratz),Ungarn,Hungary,Europa,Europe,2000,k,46.215900,18.643200,"Mórágy, Tolna, Hungary"
"Esslingen (Kreis) (Esslingen am Neckar, Stadt)",73726,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Coimbatore,Indien,India,Asien,Asia,2008,k,11.007062,76.975407,"Coimbatore, Tamil Nadu, India"
"Esslingen (Kreis) (Esslingen am Neckar, Stadt)",73726,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Givatayim,Israel,Israel,Asien,Asia,1983,p,32.068558,34.807076,"Givatayim, Tel Aviv, Israel"
"Esslingen (Kreis) (Esslingen am Neckar, Stadt)",73726,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany","Pruszków (Proskau, Krs. Oppeln)",Polen,Poland,Europa,Europe,1990,k,50.656200,17.930700,"Opole, Opolskie, Poland"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Sheboygan (Wisconsin),USA,United States,Amerika,America,1967,p,43.750800,-87.714500,"Sheboygan, 53081, Wisconsin, United States"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Albacete,Spanien,Spain,Europa,Europe,1990,f,38.723367,-1.957744,"Albacete, Spain"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Udine,Italien,Italy,Europa,Europe,1959,p,46.158586,13.302182,"UDINE, Italy"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Velenje (Wöllan),Slowenien,Slovenia,Europa,Europe,1970,p,46.381510,15.133005,"Velenje, Slovenia"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Eger (Komitat Heves) (Erlau),Ungarn,Hungary,Europa,Europe,1991,p,47.902600,20.373300,"Eger, Heves, Hungary"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Vienne (Isère),Frankreich,France,Europa,Europe,1958,p,46.608190,0.464807,"Vienne, France"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Molodetschno,Ukraine,Ukraine,Europa,Europe,1987,p,48.384958,33.901995,Ukraine
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Piotrkow Trybunalski (Petrikau),Polen,Poland,Europa,Europe,1992,p,51.412900,19.716600,"Piotrków Trybunalski, Lódzkie, Poland"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Schiedam,Niederlande,Netherlands,Europa,Europe,1964,p,51.919200,4.388900,"Schiedam, 3119, Zuid-Holland, Netherlands"
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Norrköping,Schweden,Sweden,Europa,Europe,1964,p,62.129120,15.198011,Sweden
Esslingen am Neckar,73728,Baden-Württemberg,Baden-Wurttemberg,48.739400,9.306100,"Esslingen am Neckar, 73728, Baden-Württemberg, Germany",Neath (Wales),Großbritannien,United Kingdom,Europa,Europe,1958,p,51.659800,-3.799602,"Neath, SA11 3AE, Castell-nedd Port Talbot, United Kingdom"
Ettenheim,77955,Baden-Württemberg,Baden-Wurttemberg,48.241400,7.885800,"Ettenheim, 77955, Baden-Württemberg, Germany",Avelgem,Belgien,Belgium,Europa,Europe,1977,p,50.500204,4.863757,Belgium
Ettenheim,77955,Baden-Württemberg,Baden-Wurttemberg,48.241400,7.885800,"Ettenheim, 77955, Baden-Württemberg, Germany",Benfeld,Frankreich,France,Europa,Europe,1970,p,48.370600,7.593700,"Benfeld, 67230, Bas-Rhin, France"
Ettenheim,77955,Baden-Württemberg,Baden-Wurttemberg,48.241400,7.885800,"Ettenheim, 77955, Baden-Württemberg, Germany",Castelló d´Empúries,Spanien,Spain,Europa,Europe,2001,p,42.565193,1.222072,"Carrer Castell, Vall de Cardós, 25572, Lleida, Spain"
Ettlingen,76275,Baden-Württemberg,Baden-Wurttemberg,48.940900,8.407600,"Ettlingen, 76275, Baden-Württemberg, Germany",Fère-Champenoise,Frankreich,France,Europa,Europe,1962,p,46.940300,1.801400,"La Champenoise, 36100, Indre, France"
Ettlingen,76275,Baden-Württemberg,Baden-Wurttemberg,48.940900,8.407600,"Ettlingen, 76275, Baden-Württemberg, Germany",Soudron,Frankreich,France,Europa,Europe,1961,p,48.839400,4.200200,"Soudron, 51320, Marne, France"
Ettlingen,76275,Baden-Württemberg,Baden-Wurttemberg,48.940900,8.407600,"Ettlingen, 76275, Baden-Württemberg, Germany",Etoges,Frankreich,France,Europa,Europe,1973,p,48.893238,3.850637,"Etoges, 51270, Marne, France"
Ettlingen,76275,Baden-Württemberg,Baden-Wurttemberg,48.940900,8.407600,"Ettlingen, 76275, Baden-Württemberg, Germany",Epernay,Frankreich,France,Europa,Europe,1953,p,49.038979,3.957264,"Epernay, 51200, Marne, France"
Ettlingen,76275,Baden-Württemberg,Baden-Wurttemberg,48.940900,8.407600,"Ettlingen, 76275, Baden-Württemberg, Germany",Middelkerke,Belgien,Belgium,Europa,Europe,1971,p,51.169035,2.813416,"Middelkerke, West-Vlanderen, Belgium"
Ettlingen,76275,Baden-Württemberg,Baden-Wurttemberg,48.940900,8.407600,"Ettlingen, 76275, Baden-Württemberg, Germany",Gatschina,Rußland,Russia,Europa,Europe,1992,p,59.564000,30.108100,"Gatchina, Ленинградская область, Russia"
Ettlingen,76275,Baden-Württemberg,Baden-Wurttemberg,48.940900,8.407600,"Ettlingen, 76275, Baden-Württemberg, Germany",Clevedon,Großbritannien,United Kingdom,Europa,Europe,1980,p,51.447695,-2.835819,"Clevedon, BS21 6AP, North Somerset, United Kingdom"
Ettringen,56729,Rheinland-Pfalz,Rheinland-Pfalz,50.350000,7.216700,"Ettringen, 56729, Rheinland-Pfalz, Germany",Dotnes,Frankreich,France,Europa,Europe,1966,p,47.964359,7.307174,"Europe, Rouffach, 68250, Haut-Rhin, France"
Etzenricht,92694,Bayern,Bavaria,49.633300,12.100000,"Etzenricht, 92694, Bayern, Germany",Lagundo,Italien,Italy,Europa,Europe,1968,p,46.689533,11.124122,"Lagundo, BOLZANO/BOZEN, Italy"
Euerbach,97502,Bayern,Bavaria,50.066700,10.133300,"Euerbach, 97502, Bayern, Germany",Cambremer,Frankreich,France,Europa,Europe,1991,p,49.151900,0.047800,"Cambremer, 14340, Calvados, France"
Euskirchen,53879,Nordrhein-Westfalen,North Rhine-Westphalia,50.661100,6.793900,"Euskirchen, 53879, Nordrhein-Westfalen, Germany",Charleville-Mézières,Frankreich,France,Europa,Europe,1961,p,48.812200,3.667200,"Charleville, 51120, Marne, France"
Euskirchen,53879,Nordrhein-Westfalen,North Rhine-Westphalia,50.661100,6.793900,"Euskirchen, 53879, Nordrhein-Westfalen, Germany",Palencia,Spanien,Spain,Europa,Europe,2000,k,42.407837,-4.617391,"Palencia, Spain"
Euskirchen,53879,Nordrhein-Westfalen,North Rhine-Westphalia,50.661100,6.793900,"Euskirchen, 53879, Nordrhein-Westfalen, Germany",Basingstoke,Großbritannien,United Kingdom,Europa,Europe,1986,p,51.264591,-1.091567,"Basingstoke, RG21 8SG, Hampshire, United Kingdom"
Euskirchen,53879,Nordrhein-Westfalen,North Rhine-Westphalia,50.661100,6.793900,"Euskirchen, 53879, Nordrhein-Westfalen, Germany",Stevenage,Großbritannien,United Kingdom,Europa,Europe,2000,k,51.882097,-0.180028,"Stevenage, SG2 8AQ, Hertfordshire, United Kingdom"
Eutin,23701,Schleswig-Holstein,Schleswig-Holstein,54.140500,10.607500,"Eutin, 23701, Schleswig-Holstein, Germany",Lawrence,USA,United States,Amerika,America,1989,p,38.971700,-95.235200,"Lawrence, 66044, Kansas, United States"
Eutin,23701,Schleswig-Holstein,Schleswig-Holstein,54.140500,10.607500,"Eutin, 23701, Schleswig-Holstein, Germany",Nykøbing,Dänemark,Denmark,Europa,Europe,1992,p,55.939705,9.318333,Denmark
Fahrenkrug,23795,Schleswig-Holstein,Schleswig-Holstein,53.950000,10.250000,"Fahrenkrug, 23795, Schleswig-Holstein, Germany",Aigre,Frankreich,France,Europa,Europe,1987,p,45.893800,0.009600,"Aigre, 16140, Charente, France"
Falkenberg/Elster,4895,Brandenburg,Brandenburg,,,,Dobroszyce (Juliusburg),Polen,Poland,Europa,Europe,2000,k,51.298100,17.342100,"Dobroszyce, Dolnośląskie, Poland"
Falkenhain,4808,Sachsen,Saxony,51.384352,12.807090,"04808, Sachsen, Germany",Premyslovice (Prmyslowitz),Tschech. Republik,Czech Republic,Europa,Europe,2000,k,49.556400,16.955800,"Přemyslovice, Olomoucký, Czech Republic"
Falkenstein,93167,Bayern,Bavaria,49.100000,12.483300,"Falkenstein, 93167, Bayern, Germany",Falkenstein,Österreich,Austria,Europa,Europe,1975,p,48.714500,16.590900,"Falkenstein, 2162, Niederösterreich, Austria"
Falkenstein/Vogtl.,8223,Sachsen,Saxony,,,,Harnes las de Calais,Frankreich,France,Europa,Europe,1966,p,50.495395,2.972287,"Rue de Calais, Carvin, 62220, Pas-de-Calais, France"
Faßberg,29328,Niedersachsen,Lower Saxony,52.885511,10.174691,"29328, Niedersachsen, Germany",Duszniki,Polen,Poland,Europa,Europe,1997,k,52.446200,16.449000,"Duszniki, Wielkopolskie, Poland"
Faßberg,29328,Niedersachsen,Lower Saxony,52.885511,10.174691,"29328, Niedersachsen, Germany",Yerville,Frankreich,France,Europa,Europe,1990,p,49.668300,0.896100,"Yerville, 76760, Seine-Maritime, France"
Fehmarn,23769,Schleswig-Holstein,Schleswig-Holstein,54.447700,11.180700,"Fehmarn, 23769, Schleswig-Holstein, Germany",Rødby,Dänemark,Denmark,Europa,Europe,1964,p,55.939705,9.318333,Denmark
Feldberg (Schwarzwald),79868,Baden-Württemberg,Baden-Wurttemberg,47.866700,8.066700,"Feldberg (Schwarzwald), 79868, Baden-Württemberg, Germany",La Clusaz,Frankreich,France,Europa,Europe,1985,p,45.906100,6.425700,"La Clusaz, 74220, Haute-Savoie, France"
Feldberg (Schwarzwald),79868,Baden-Württemberg,Baden-Wurttemberg,47.866700,8.066700,"Feldberg (Schwarzwald), 79868, Baden-Württemberg, Germany",Haute Savoie,Frankreich,France,Europa,Europe,1985,p,46.074606,6.348931,"Haute-Savoie, France"
Feldkirchen,85622,Bayern,Bavaria,48.148100,11.731000,"Feldkirchen, 85622, Bayern, Germany",Bisignano,Italien,Italy,Europa,Europe,2005,p,42.508793,12.677718,Italy
Feldkirchen-Westerham,83620,Bayern,Bavaria,47.900000,11.850000,"Feldkirchen-Westerham, 83620, Bayern, Germany",Jallais,Frankreich,France,Europa,Europe,1984,p,47.196900,-0.867400,"Jallais, 49510, Maine-et-Loire, France"
Feldkirchen-Westerham,83620,Bayern,Bavaria,47.900000,11.850000,"Feldkirchen-Westerham, 83620, Bayern, Germany",Jenesien,Italien,Italy,Europa,Europe,1990,p,42.508793,12.677718,Italy
Fell,54341,Rheinland-Pfalz,Rheinland-Pfalz,49.766700,6.783300,"Fell, 54341, Rheinland-Pfalz, Germany",Champs-sur-Yonne,Frankreich,France,Europa,Europe,1994,p,47.736900,3.601700,"Champs-sur-Yonne, 89290, Yonne, France"
Fellbach,70734,Baden-Württemberg,Baden-Wurttemberg,48.809100,9.277000,"Fellbach, 70734, Baden-Württemberg, Germany",Suhareke,Kosovo,Kosovo,Europa,Europe,2000,f,42.363792,20.849830,"Suharekë, Suva Reka, Kosovo"
Fellbach,70734,Baden-Württemberg,Baden-Wurttemberg,48.809100,9.277000,"Fellbach, 70734, Baden-Württemberg, Germany",Tain-l`Hermitage,Frankreich,France,Europa,Europe,1964,p,45.070600,4.842500,"Tain-l'Hermitage, 26600, Drôme, France"
Fellbach,70734,Baden-Württemberg,Baden-Wurttemberg,48.809100,9.277000,"Fellbach, 70734, Baden-Württemberg, Germany",Erba,Italien,Italy,Europa,Europe,1978,p,45.816975,9.217010,"Erba, COMO, Italy"
Fellbach,70734,Baden-Württemberg,Baden-Wurttemberg,48.809100,9.277000,"Fellbach, 70734, Baden-Württemberg, Germany",Tournou-sur-Rhone,Frankreich,France,Europa,Europe,1973,p,45.911661,5.838330,"Sur Rhône, Motz, 73310, Savoie, France"
Fellbach,70734,Baden-Württemberg,Baden-Wurttemberg,48.809100,9.277000,"Fellbach, 70734, Baden-Württemberg, Germany",Pécs (Fünfkirchen),Ungarn,Hungary,Europa,Europe,1986,p,47.161064,19.133710,Hungary
Fellheim,87748,Bayern,Bavaria,48.077169,10.153380,"Fellheim, 87748, Bayern, Germany",Lippo (Lippau),Ungarn,Hungary,Europa,Europe,2000,k,45.862800,18.570000,"Lippó, Baranya, Hungary"
Felsberg,34587,Hessen,Hesse,51.134800,9.425500,"Felsberg, 34587, Hessen, Germany",Vernouillet,Frankreich,France,Europa,Europe,1982,p,48.720800,1.360600,"Vernouillet, 28500, Eure-et-Loir, France"
Felsberg,34587,Hessen,Hesse,51.134800,9.425500,"Felsberg, 34587, Hessen, Germany",Felsberg,Schweiz,Switzerland,Europa,Europe,2000,k,46.831216,9.458281,"Felsberg, Switzerland"
Felsberg,34587,Hessen,Hesse,51.134800,9.425500,"Felsberg, 34587, Hessen, Germany",Cheddar,Großbritannien,United Kingdom,Europa,Europe,1986,p,51.292740,-2.766174,"Cheddar, Somerset, United Kingdom"
Feucht,90537,Bayern,Bavaria,49.376000,11.214300,"Feucht, 90537, Bayern, Germany",Leutschach,Österreich,Austria,Europa,Europe,1985,p,46.668200,15.466900,"Leutschach, 8463, Steiermark, Austria"
Feuchtwangen,91555,Bayern,Bavaria,49.167800,10.331200,"Feuchtwangen, 91555, Bayern, Germany",Jingjiang,China,China,Asien,Asia,2004,k,36.894361,98.604453,China
Feuchtwangen,91555,Bayern,Bavaria,49.167800,10.331200,"Feuchtwangen, 91555, Bayern, Germany",Lana,Italien,Italy,Europa,Europe,1967,f,46.612873,11.149093,"Lana, BOLZANO/BOZEN, Italy"
Feuchtwangen,91555,Bayern,Bavaria,49.167800,10.331200,"Feuchtwangen, 91555, Bayern, Germany",Morhange,Frankreich,France,Europa,Europe,1968,p,48.923000,6.641800,"Morhange, 57340, Moselle, France"
Fichtenberg,74427,Baden-Württemberg,Baden-Wurttemberg,48.986000,9.712000,"Fichtenberg, 74427, Baden-Württemberg, Germany",Proszowice,Polen,Poland,Europa,Europe,2000,k,50.188700,20.292800,"Proszowice, Małopolskie, Poland"
Filderstadt,70794,Baden-Württemberg,Baden-Wurttemberg,48.657000,9.220500,"Filderstadt, 70794, Baden-Württemberg, Germany",La Souterraine,Frankreich,France,Europa,Europe,1972,p,46.238100,1.485600,"La Souterraine, 23300, Creuse, France"
