municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Adenau,53518,Rheinland-Pfalz,Rheinland-Pfalz,50.383300,6.933300,"Adenau, 53518, Rheinland-Pfalz, Germany",Castione della Presolana,Italien,Italy,Europa,Europe,2002,p,45.922140,10.080108,"Castione, BERGAMO, Italy"
Adenau,53518,Rheinland-Pfalz,Rheinland-Pfalz,50.383300,6.933300,"Adenau, 53518, Rheinland-Pfalz, Germany",Bons en Chablais,Frankreich,France,Europa,Europe,2010,f,46.264500,6.371000,"Bons-en-Chablais, 74890, Haute-Savoie, France"
Adenau,53518,Rheinland-Pfalz,Rheinland-Pfalz,50.383300,6.933300,"Adenau, 53518, Rheinland-Pfalz, Germany",Sillery,Frankreich,France,Europa,Europe,1985,p,49.198200,4.132400,"Sillery, 51500, Marne, France"
Adendorf,21365,Niedersachsen,Lower Saxony,53.283300,10.450000,"Adendorf, 21365, Niedersachsen, Germany",Saint Romain de Colbosc,Frankreich,France,Europa,Europe,2000,f,49.528797,0.365465,"Saint-Romain-de-Colbosc, 76430, Seine-Maritime, France"
Adenstedt,31079,Niedersachsen,Lower Saxony,52.000000,9.933300,"Adenstedt, 31079, Niedersachsen, Germany",Combloux,Frankreich,France,Europa,Europe,1971,p,45.895600,6.641100,"Combloux, 74920, Haute-Savoie, France"
Adlkofen,84166,Bayern,Bavaria,48.550000,12.266700,"Adlkofen, 84166, Bayern, Germany",Badia Calavena,Italien,Italy,Europa,Europe,1988,f,45.566225,11.154863,"Badia Calavena, VERONA, Italy"
Affalterbach,71563,Baden-Württemberg,Baden-Wurttemberg,48.922700,9.323600,"Affalterbach, 71563, Baden-Württemberg, Germany",Téglás,Ungarn,Hungary,Europa,Europe,1996,f,47.161064,19.133710,Hungary
Affing,86444,Bayern,Bavaria,48.466700,10.983300,"Affing, 86444, Bayern, Germany",Lobez,Polen,Poland,Europa,Europe,2000,k,53.635900,15.613300,"Łobez, Zachodniopomorskie, Poland"
Ahaus,48683,Nordrhein-Westfalen,North Rhine-Westphalia,52.092000,6.973900,"Ahaus, 48683, Nordrhein-Westfalen, Germany",Argentrè du Plessis,Frankreich,France,Europa,Europe,1976,p,48.057000,-1.146000,"Argentré-du-Plessis, 35370, Ille-et-Vilaine, France"
Ahaus,48683,Nordrhein-Westfalen,North Rhine-Westphalia,52.092000,6.973900,"Ahaus, 48683, Nordrhein-Westfalen, Germany",Haaksbergen,Niederlande,Netherlands,Europa,Europe,1988,p,52.156700,6.738900,"Haaksbergen, 7481, Overijssel, Netherlands"
Ahaus,48683,Nordrhein-Westfalen,North Rhine-Westphalia,52.092000,6.973900,"Ahaus, 48683, Nordrhein-Westfalen, Germany",Nagele,Niederlande,Netherlands,Europa,Europe,2000,k,52.644200,5.725000,"Nagele, 8308, Flevoland, Netherlands"
Ahlen,59227,Nordrhein-Westfalen,North Rhine-Westphalia,51.763400,7.888700,"Ahlen, 59227, Nordrhein-Westfalen, Germany",Bagamoyo,Tansania,Tanzania,Afrika,Africa,1988,k,-6.447658,38.896381,"Bagamoyo, Pwani, Tanzania"
Ahlen,59227,Nordrhein-Westfalen,North Rhine-Westphalia,51.763400,7.888700,"Ahlen, 59227, Nordrhein-Westfalen, Germany",Differdingen,Luxemburg,Luxembourg,Europa,Europe,1982,p,49.516700,5.883300,"Differdange, Luxembourg, Luxembourg"
Ahnatal,34292,Hessen,Hesse,51.364798,9.397858,"Ahnatal, 34292, Hessen, Germany",Wisches-Hersbach (Elsaß),Frankreich,France,Europa,Europe,1990,f,48.508800,7.268100,"Wisches, 67130, Bas-Rhin, France"
Ahnatal,34292,Hessen,Hesse,51.364798,9.397858,"Ahnatal, 34292, Hessen, Germany",Krummnußbaum,Österreich,Austria,Europa,Europe,1996,p,47.695940,14.755756,Austria
